Instance: j3060_1
Chains: 2
Steps: 3
Neighbours Initial N: 100
Neighbours Increase Coefficient: 1
Temperature Max: 100
Temperature Increase Coefficient: 0.25
12.70user 0.05system 0:10.92elapsed 116%CPU (0avgtext+0avgdata 26960maxresident)k
13.01user 0.04system 0:10.87elapsed 120%CPU (0avgtext+0avgdata 27148maxresident)k
13.06user 0.05system 0:11.03elapsed 118%CPU (0avgtext+0avgdata 27080maxresident)k
13.16user 0.05system 0:11.16elapsed 118%CPU (0avgtext+0avgdata 27152maxresident)k
13.01user 0.02system 0:11.19elapsed 116%CPU (0avgtext+0avgdata 26928maxresident)k
12.85user 0.03system 0:10.71elapsed 120%CPU (0avgtext+0avgdata 27304maxresident)k
13.01user 0.04system 0:10.85elapsed 120%CPU (0avgtext+0avgdata 27216maxresident)k
12.85user 0.03system 0:10.68elapsed 120%CPU (0avgtext+0avgdata 27308maxresident)k
12.90user 0.03system 0:10.74elapsed 120%CPU (0avgtext+0avgdata 27184maxresident)k
12.72user 0.03system 0:10.58elapsed 120%CPU (0avgtext+0avgdata 27140maxresident)k
12.85user 0.03system 0:10.67elapsed 120%CPU (0avgtext+0avgdata 27148maxresident)k
12.80user 0.04system 0:10.66elapsed 120%CPU (0avgtext+0avgdata 27180maxresident)k
12.74user 0.03system 0:10.63elapsed 120%CPU (0avgtext+0avgdata 27148maxresident)k
13.10user 0.05system 0:11.04elapsed 119%CPU (0avgtext+0avgdata 27212maxresident)k
13.00user 0.04system 0:10.83elapsed 120%CPU (0avgtext+0avgdata 27144maxresident)k
12.84user 0.04system 0:10.70elapsed 120%CPU (0avgtext+0avgdata 27272maxresident)k
12.95user 0.04system 0:10.83elapsed 119%CPU (0avgtext+0avgdata 27024maxresident)k
12.88user 0.04system 0:10.78elapsed 119%CPU (0avgtext+0avgdata 27148maxresident)k
13.75user 0.04system 0:11.62elapsed 118%CPU (0avgtext+0avgdata 27112maxresident)k
12.65user 0.03system 0:10.70elapsed 118%CPU (0avgtext+0avgdata 27220maxresident)k
13.55user 0.04system 0:11.45elapsed 118%CPU (0avgtext+0avgdata 27148maxresident)k
13.05user 0.03system 0:10.85elapsed 120%CPU (0avgtext+0avgdata 26964maxresident)k
13.09user 0.03system 0:10.89elapsed 120%CPU (0avgtext+0avgdata 27148maxresident)k
12.85user 0.03system 0:10.66elapsed 120%CPU (0avgtext+0avgdata 27148maxresident)k
12.80user 0.05system 0:10.64elapsed 120%CPU (0avgtext+0avgdata 27020maxresident)k
12.73user 0.04system 0:10.63elapsed 120%CPU (0avgtext+0avgdata 27148maxresident)k
13.86user 0.04system 0:12.01elapsed 115%CPU (0avgtext+0avgdata 26920maxresident)k
13.71user 0.04system 0:11.90elapsed 115%CPU (0avgtext+0avgdata 27024maxresident)k
13.53user 0.03system 0:11.53elapsed 117%CPU (0avgtext+0avgdata 27144maxresident)k
13.26user 0.04system 0:11.21elapsed 118%CPU (0avgtext+0avgdata 27076maxresident)k
12.76user 0.03system 0:10.61elapsed 120%CPU (0avgtext+0avgdata 27128maxresident)k
12.89user 0.04system 0:10.72elapsed 120%CPU (0avgtext+0avgdata 27308maxresident)k
12.85user 0.03system 0:10.67elapsed 120%CPU (0avgtext+0avgdata 27088maxresident)k
